,PLAYER_NAME,OVR,POS,PROGRAM,TEAM,HEIGHT,WEIGHT,ARCHETYPE,PRICE,QUICKSELL,QS_CURRENCY,clutch,penalty,lb_style,dl_swim,dl_spin,dl_bull,big_hitter,strips_ball,ball_in_air,high_motor,covers_ball,extra_yards,agg_catch,rac_catch,poss_catch,drops_open,sideline_catch,qb_style,tight_spiral,sense_pressure,throw_away,force_passes,SPD,STR,AGI,ACC,AWA,CTH,JMP,STA,INJ,TRK,ELU,BTK,BCV,SFA,SPM,JKM,CAR,SRR,MRR,DRR,CIT,SPC,RLS,THP,SAC,MAC,DAC,RUN,TUP,BSK,PAC,RBK,RBP,RBF,PBK,PBP,PBF,LBK,IBL,TAK,POW,PMV,FMV,BSH,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,RET
1040,Earl Thomas III,86,FS,Core Elite,Baltimore Ravens,"5' 10""",202,Zone (FS/SS),22400,"1,340",Training,Yes,Disciplined,Balanced,N/A,N/A,N/A,Yes,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,58,84,82,87,70,83,88,82,30,67,56,69,15,65,75,57,20,10,10,61,69,10,21,10,10,10,10,18,12,10,25,25,25,25,25,25,14,59,71,77,45,35,46,70,87,73,89,70,10,10,67
1041,Richie Incognito,86,LG,Football Outsiders,Oakland Raiders,"6' 3""",319,Pass Protector (OG),24000,"1,340",Training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,89,51,73,80,21,47,84,86,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,74,72,75,84,85,82,93,91,15,15,10,10,15,15,15,10,10,10,10,10,10
1042,Stephon Gilmore,86,CB,Core Elite,New England Patriots,"6' 1""",202,Man-to-Man (CB),21600,"1,340",Training,Yes,Normal,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,53,85,85,84,66,81,87,85,12,67,57,56,20,35,65,52,10,10,10,48,60,10,13,10,10,10,10,10,10,10,25,25,25,25,25,25,10,46,51,58,50,34,44,64,84,87,79,84,20,15,60
1043,Dave Casper,86,TE,Legends,Oakland Raiders,"6' 4""",240,Possession (TE),19700,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,79,72,79,79,85,82,81,86,82,79,66,73,74,74,58,66,78,77,79,73,84,82,77,35,15,10,5,10,13,20,5,66,71,67,63,67,70,67,71,55,12,10,10,40,45,20,15,20,15,30,30,10
1044,Reggie White,86,LE,Legends,Green Bay Packers,"6' 5""",291,Power Rusher (DE),21300,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,86,63,78,86,43,63,82,85,65,35,35,50,75,35,30,60,15,15,15,32,26,20,22,5,5,5,5,24,15,5,45,25,25,45,25,25,25,81,84,84,86,77,84,82,86,19,29,22,15,16,10
1045,Clay Matthews,86,ROLB,Veterans,Los Angeles Rams,"6' 3""",255,Run Stopper (OLB),20500,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,80,80,84,85,64,76,93,84,18,18,10,10,10,10,10,42,15,10,10,22,32,10,10,10,10,10,10,10,10,10,35,35,35,35,35,35,14,84,82,91,79,63,82,84,85,44,55,42,10,10,13
1046,Mike Adams,86,FS,Veterans,Free Agents,"5' 11""",205,Zone (FS/SS),20800,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,No,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,62,80,84,90,72,79,85,88,35,25,10,35,10,52,30,55,10,10,10,18,60,10,14,10,10,10,10,10,10,10,25,25,25,25,25,25,10,60,73,68,18,26,56,76,90,78,83,71,10,10,47
1047,Matthew Ioannidis,86,LE,Zero Chill,Washington Redskins,"6' 3""",305,Power Rusher (DE),17400,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,91,67,78,84,25,74,80,84,22,10,10,10,15,10,10,31,10,10,10,14,14,10,14,10,10,10,10,10,10,10,35,35,35,35,34,35,10,76,83,76,86,80,72,81,84,17,23,13,10,10,13
1048,Andre Reed,86,WR,Legends,Buffalo Bills,"6' 2""",190,Slot (WR),20100,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Big Hitters,N/A,No,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,83,65,83,82,83,83,83,85,84,56,80,84,84,70,77,81,73,87,79,78,84,85,82,36,28,24,20,34,10,20,23,47,38,38,44,20,24,42,48,26,12,10,10,10,10,20,30,42,12,20,19,69
1049,Kerryon Johnson,86,HB,MUT Heroes,Detroit Lions,"5' 11""",206,Powerback (HB),20000,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,,,,,,88,81,83,73,83,82,85,78,82,87,57,55,48,61,58,44,28,20,14,10,23,14,20,18,29,26,21,53,32,27,29,39,22,20,10,10,16,24,10,10,10,10,10,10,72
1050,LeGarrette Blount,86,HB,Veterans,Free Agents,"6' 0""",250,Powerback (HB),20000,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Medium Hitters,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,80,81,77,85,84,52,88,79,82,88,68,76,81,85,74,81,87,42,35,27,38,28,38,30,30,22,20,25,15,13,12,50,41,40,58,31,24,48,46,46,15,35,27,45,45,15,10,10,10,10,12,21
1051,Sam Koch,86,P,Core Elite,Baltimore Ravens,"6' 1""",222,Accurate (K/P),22100,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,41,57,69,75,15,45,76,76,10,11,10,10,10,10,10,30,10,10,10,10,10,10,39,40,36,29,22,21,10,17,10,10,10,10,10,10,10,10,23,10,10,10,23,20,10,10,10,10,82,86,10
1052,Keith Bulluck,86,ROLB,Legends,Tennessee Titans,"6' 3""",235,Pass Coverage (OLB),19900,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,67,78,80,86,60,77,84,84,30,47,47,62,65,36,57,69,15,15,15,48,46,35,28,5,5,5,5,10,18,5,45,45,45,45,45,45,45,76,82,75,49,56,80,81,86,78,77,53,22,10,10
1053,Ted Hendricks,86,LOLB,Legends,Green Bay Packers,"6' 7""",220,Run Stopper (OLB),20400,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,77,74,79,87,59,73,85,87,25,19,19,25,35,15,30,54,15,15,15,50,42,12,25,6,6,6,6,13,19,6,45,45,45,45,45,45,45,78,83,81,73,66,84,82,87,54,65,38,20,20,10
1054,Trent Williams,86,LT,Core Elite,Washington Redskins,"6' 5""",320,Power (OT),20400,"1,340",Training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,86,66,73,87,10,58,76,75,10,10,10,10,10,10,10,30,10,10,10,10,41,10,10,10,10,10,10,10,10,10,83,80,84,83,86,82,81,84,22,50,10,10,22,21,10,10,10,10,10,10,10
1055,Daniel Jones,86,QB,Team of the Week,New York Giants,"6' 5""",221,Field General (QB),20400,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket,Yes,N/A,No,Aggressive,82,66,82,85,83,28,79,89,86,50,59,56,76,35,45,53,55,10,10,10,10,11,10,86,87,81,81,81,83,66,82,10,10,10,10,10,10,10,14,14,10,10,10,12,21,10,10,10,10,50,39,10
1056,Jared Cook,86,TE,Veterans,New Orleans Saints,"6' 5""",254,Vertical Threat (TE),21300,"1,340",Training,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,80,66,75,85,92,86,86,86,79,64,68,70,81,77,75,74,69,79,77,72,81,83,75,16,10,10,10,10,10,10,10,57,53,56,64,61,63,53,68,34,10,10,10,33,25,11,10,14,10,10,10,13
1057,Dallas Clark,86,TE,Legends,Indianapolis Colts,"6' 3""",252,Vertical Threat (TE),20900,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,77,61,74,79,89,86,74,83,80,65,70,73,81,75,56,69,73,84,85,76,86,83,77,25,15,10,5,10,10,20,5,51,57,53,51,55,58,52,58,36,20,10,10,36,42,18,12,17,20,19,19,11
1058,John Henderson,86,DT,Legends,Jacksonville Jaguars,"6' 7""",335,Run Stopper (DT),20000,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,86,51,66,86,17,49,77,82,29,17,17,24,30,12,23,40,15,10,10,10,10,13,13,5,5,5,5,10,17,5,45,45,45,45,45,45,24,86,85,81,83,53,85,76,86,10,18,10,15,11,10
1059,Dwight Freeney,86,RE,Legends,Indianapolis Colts,"6' 1""",268,Smaller Speed Rusher (DE),19900,"1,340",Training,N/A,Disciplined,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,74,79,85,84,31,76,85,81,16,31,38,36,14,58,51,40,15,8,4,21,20,30,19,6,6,6,6,13,12,6,45,45,45,45,45,45,14,76,76,73,70,84,76,83,84,32,45,18,15,10,10
1060,Jerry Rice,86,WR,Legends,San Francisco 49ers,"6' 2""",200,Route Running (WR),20100,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Always,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,83,51,83,84,85,85,82,86,87,46,80,78,83,63,76,79,72,85,83,78,82,81,81,66,37,35,29,10,24,27,5,45,33,38,35,31,33,35,41,38,15,10,10,29,35,32,25,35,15,28,27,65
1061,Robbie Gould,86,K,Core Elite,San Francisco 49ers,"6' 0""",190,Accurate (K/P),28900,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,16,43,55,78,10,18,66,81,10,17,10,10,10,10,10,30,10,10,10,10,10,10,20,25,20,15,10,17,10,10,10,10,10,10,10,10,10,10,13,10,10,10,13,11,10,10,10,10,84,85,10
1062,Anthony Munoz,86,LT,Legends,Cincinnati Bengals,"6' 6""",280,Pass Protector (OT),21000,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,83,64,71,83,37,66,87,85,20,15,15,15,30,10,14,40,20,20,20,25,35,15,30,6,6,6,6,20,15,6,82,80,82,85,84,85,79,81,35,20,10,10,20,29,15,12,15,10,21,20,10
1063,Buster Skrine,86,CB,Veterans,Chicago Bears,"5' 9""",185,Slot (CB),20300,"1,340",Training,No,N/A,Balanced,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,56,91,85,83,59,82,87,85,10,67,57,60,15,64,70,48,12,10,10,43,59,10,10,10,10,10,10,10,10,10,25,25,25,25,25,25,10,47,64,38,26,33,66,87,83,75,71,75,10,10,75
1064,Alan Page,86,DT,Legends,Minnesota Vikings,"6' 4""",245,Speed Rusher (DT),19600,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73,81,67,78,85,21,80,86,83,61,42,50,68,70,52,58,31,20,,20,10,13,12,12,6,6,6,6,10,16,6,45,45,45,45,45,45,45,81,81,77,77,85,81,82,85,32,42,41,17,13,10
1065,Darnell Dockett,86,DT,Legends,Arizona Cardinals,"6' 4""",290,Power Rusher (DT),22100,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,85,65,72,85,36,62,82,84,38,26,30,28,19,17,26,40,10,10,10,10,10,12,15,6,6,6,6,13,18,6,45,45,45,45,45,45,24,83,82,75,83,73,84,79,85,17,29,11,8,11,10
1066,Ha Ha Clinton-Dix,86,SS,MUT Heroes,Chicago Bears,"6' 1""",208,Zone (FS/SS),19300,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,No,No,Balanced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,53,81,85,83,76,80,89,91,45,54,39,61,45,55,59,55,10,10,10,61,62,15,26,10,10,10,10,12,10,10,25,25,25,25,25,25,10,60,75,83,42,49,60,83,83,76,86,79,10,10,58
1067,Derrick Brooks,86,ROLB,Legends,Tampa Bay Buccaneers,"6' 0""",235,Pass Coverage (OLB),20300,"1,340",Training,Yes,Normal,Balanced,N/A,N/A,N/A,Yes,No,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,83,86,31,48,48,75,55,70,67,75,20,20,20,45,48,12,19,5,5,5,5,24,18,5,45,25,25,45,25,25,25,71,86,76,36,44,68,82,86,72,78,46,15,36,10
1068,Devin Bush,86,MLB,Team of the Week,Pittsburgh Steelers,"5' 11""",234,Pass Coverage (MLB),20800,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,Yes,No,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,71,83,89,81,57,91,87,86,23,18,10,26,26,24,31,46,10,10,10,36,31,10,10,10,10,10,10,10,10,10,35,35,35,35,35,35,12,70,84,88,59,62,69,85,81,67,75,53,10,10,15
1069,Ty Law,86,CB,Legends,New England Patriots,"5' 11""",200,Slot (CB),20000,"1,340",Training,Yes,Normal,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,58,82,82,86,70,80,84,83,35,72,58,73,35,70,82,66,15,15,15,55,67,15,15,5,5,5,5,15,22,5,45,45,45,45,45,45,45,45,63,56,33,29,44,72,86,85,83,84,17,12,34
1070,Nyheim Hines,86,HB,Team of the Week,Indianapolis Colts,"5' 9""",198,Elusive Back (HB),17900,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,90,59,87,90,73,68,82,85,85,44,81,68,77,74,85,88,81,64,60,56,71,66,50,16,10,10,10,10,10,10,10,22,16,16,59,24,27,22,23,17,10,10,10,10,23,10,10,10,10,10,10,84
1071,Johnathan Joseph,86,CB,MUT Heroes,Houston Texans,"5' 11""",185,Man-to-Man (CB),19900,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,No,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,57,82,84,85,69,85,92,82,15,32,22,50,10,63,75,50,20,10,10,35,55,10,18,10,10,10,10,10,10,10,25,25,25,25,25,25,10,50,54,37,14,35,36,62,85,85,80,80,10,10,60
1072,Christian Okoye,86,FB,Legends,Kansas City Chiefs,"6' 1""",253,Utility (FB),26800,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Medium Hitters,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,81,83,79,83,84,56,68,80,82,86,60,86,87,84,61,70,86,57,42,39,53,44,45,33,31,27,22,15,10,28,15,78,66,52,62,63,53,83,88,40,20,10,10,40,42,25,10,22,20,14,21,18
1073,Adrian Peterson,86,HB,Veterans,Washington Redskins,"6' 1""",220,Powerback (HB),20900,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace Against Medium Hitters,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,85,74,84,85,88,56,84,84,75,83,78,84,82,84,73,84,81,57,50,42,49,38,53,26,25,20,10,10,10,12,10,37,16,16,41,25,19,25,23,32,10,10,10,25,30,18,10,10,10,15,16,39
1074,Jordan Gross,86,LT,Legends,Carolina Panthers,"6' 4""",305,Pass Protector (OT),19800,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,84,61,71,85,15,53,82,87,10,35,35,10,10,10,10,40,15,15,15,15,15,15,6,6,6,6,6,13,35,6,83,82,84,85,83,85,78,78,25,20,10,10,25,33,15,11,18,10,11,10,10
1075,Jordan Phillips,86,DT,Team of the Week,Buffalo Bills,"6' 6""",341,Power Rusher (DT),20100,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,88,65,78,77,37,81,72,75,32,26,11,28,14,10,16,37,10,10,10,22,26,10,10,10,10,10,10,10,10,10,35,35,35,35,35,35,26,93,87,90,82,65,72,86,77,36,44,17,10,10,15
1076,Dave Casper,86,TE,Theme Diamonds,Oakland Raiders,"6' 4""",240,Possession (TE),48100,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,77,72,77,77,82,83,79,86,80,78,66,73,74,74,58,66,74,79,79,75,85,83,79,35,15,10,5,10,13,20,5,65,70,66,64,68,71,67,72,55,12,10,10,40,45,20,15,20,15,30,30,12
1077,Kevin Mawae,86,C,Legends,Tennessee Titans,"6' 4""",289,Power (C),21600,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,84,61,73,85,22,45,85,83,10,17,17,10,10,10,10,40,15,,15,15,15,15,29,5,5,5,5,20,17,5,86,84,84,84,83,83,86,81,22,20,10,10,22,29,24,14,24,10,24,15,10
1078,D.J. Chark Jr,86,WR,Team of the Week,Jacksonville Jaguars,"6' 4""",198,Deep Threat (WR),20300,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,92,57,84,91,79,83,92,88,88,34,78,72,79,53,77,82,69,74,76,82,79,86,73,19,10,10,10,10,10,10,10,51,27,22,26,20,20,20,41,17,10,10,10,11,19,10,10,10,10,10,10,83
1079,Willie Brown,86,CB,Legends,Oakland Raiders,"6' 1""",195,Slot (CB),20000,"1,340",Training,Yes,Normal,Balanced,N/A,N/A,N/A,No,Yes,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,62,80,80,86,69,80,84,81,22,77,77,66,30,45,75,62,15,15,15,60,58,15,22,6,6,6,6,15,20,6,45,45,45,45,45,45,45,45,62,68,39,39,49,71,86,88,85,85,30,25,58
1080,Randall Cunningham,86,QB,Legends,Dallas Cowboys,"6' 4""",212,Scrambler (QB),21900,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket,Yes,Ideal,No,Ideal,80,60,86,77,84,70,83,86,80,37,81,79,82,59,80,81,64,32,32,32,40,45,25,85,82,77,86,85,82,86,81,28,35,35,32,32,32,45,45,40,12,10,10,41,52,19,11,30,10,83,38,14
1081,Devin Singletary,86,HB,Team of the Week,Buffalo Bills,"5' 7""",203,Elusive Back (HB),21000,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,85,69,89,88,71,57,83,92,93,76,78,81,81,75,79,86,87,50,44,37,51,48,45,15,11,10,10,10,10,17,10,29,22,19,52,36,33,32,39,27,11,10,10,15,27,10,10,10,10,10,10,73
1082,Gene Upshaw,86,LG,Legends,Oakland Raiders,"6' 5""",255,Power (OG),25000,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,82,66,74,85,45,60,84,84,65,20,20,25,45,10,10,55,35,35,35,60,40,15,26,5,5,5,5,20,20,5,85,85,85,83,83,81,84,85,45,75,75,25,65,59,25,12,12,10,15,15,10
1083,Darius Slayton,86,WR,Team of the Week,New York Giants,"6' 2""",190,Deep Threat (WR),22300,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace For All Hits,N/A,Yes,Yes,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,92,55,84,91,77,84,92,89,86,37,74,70,81,54,75,80,72,79,77,80,83,88,73,15,10,10,10,10,10,10,10,43,21,21,28,21,21,22,40,20,11,10,10,18,25,14,13,16,10,10,10,80
1084,Jadeveon Clowney,86,ROLB,Core Elite,Houston Texans,"6' 5""",255,Power Rusher (OLB),22500,"1,340",Training,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,75,78,81,87,39,80,80,76,44,32,17,45,50,40,44,49,10,10,10,30,34,10,26,10,10,10,10,10,10,10,35,35,35,35,35,35,18,83,79,77,84,74,81,88,87,41,49,25,11,10,10
1085,Tony Jefferson,86,SS,Flashbacks,Arizona Cardinals,"5' 11""",212,Run Support (FS/SS),20600,"1,340",Training,No,Disciplined,Balanced,N/A,N/A,N/A,No,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,59,76,82,91,59,77,85,84,35,49,34,62,40,56,60,45,10,10,10,39,57,15,15,10,10,10,10,10,10,10,25,25,25,25,25,25,10,58,77,84,47,52,54,85,91,77,79,72,16,10,34
1086,Myles Jack,86,MLB,MUT Heroes,Jacksonville Jaguars,"6' 1""",244,Pass Coverage (MLB),20000,"1,340",Training,No,Normal,Cover Lb,N/A,N/A,N/A,Yes,No,Aggressive,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,70,84,86,81,62,87,92,82,64,59,44,65,69,52,63,66,54,44,38,53,51,40,13,16,12,10,17,28,36,10,35,34,34,35,33,34,15,82,80,80,45,56,66,80,81,73,81,47,11,10,60
1087,Deacon Jones,86,RE,NFL Epics,Los Angeles Rams,"6' 5""",272,Power Rusher (DE),Unknown,670,Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74,85,75,82,83,34,69,86,89,45,30,30,40,10,10,10,65,15,15,15,29,28,15,19,5,5,5,5,20,30,5,45,45,45,45,45,45,45,80,82,82,84,76,82,83,83,22,32,27,19,17,11
1088,Derek Wolfe,86,LE,MUT Heroes,Denver Broncos,"6' 5""",285,Run Stopper (DE),18900,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,No,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,85,68,79,87,28,76,87,85,30,10,10,10,15,10,10,30,10,10,10,14,14,10,11,10,10,10,10,10,10,10,35,35,35,35,35,35,10,86,87,71,78,55,83,85,87,16,23,13,10,10,13
1089,Odell Beckham Jr,86,WR,Core Elite,Cleveland Browns,"5' 11""",198,Deep Threat (WR),21400,"1,340",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Brace For All Hits,N/A,Yes,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,85,44,89,85,80,84,87,86,76,32,83,74,87,67,78,87,62,83,82,81,79,86,80,50,41,38,35,10,20,13,10,45,28,22,41,15,15,12,39,30,10,10,10,35,29,12,10,12,35,65,43,69
1090,Sheldon Richardson,86,DT,Flashbacks,New York Jets,"6' 3""",294,Power Rusher (DT),22300,"1,340",Training,N/A,Normal,N/A,N/A,N/A,N/A,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66,83,68,79,83,35,73,88,84,56,15,10,32,45,15,20,60,10,10,10,27,31,10,19,10,10,10,10,10,10,10,35,35,35,35,35,35,30,86,87,82,84,68,70,79,83,16,48,18,15,13,12
1091,Jason Sehorn,86,CB,Theme Diamonds,New York Giants,"6' 2""",213,Slot (CB),40900,"1,340",Training,No,Normal,Balanced,N/A,N/A,N/A,No,Yes,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,67,85,86,81,60,83,84,79,41,68,60,75,42,53,63,73,20,10,10,58,65,15,30,15,10,10,15,18,10,15,35,35,35,35,35,35,13,46,64,69,40,44,53,79,81,81,76,83,20,15,44
1092,Shaquill Griffin,86,CB,MUT Heroes,Seattle Seahawks,"6' 0""",198,Zone (CB),22100,"1,340",Training,No,N/A,Balanced,N/A,N/A,N/A,No,No,Balanced,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,64,84,89,81,67,87,85,88,26,53,43,61,38,63,70,57,14,10,10,65,68,10,10,10,10,10,10,10,10,10,25,25,25,25,25,25,10,53,64,65,23,32,50,77,81,77,80,79,10,10,41
1093,Noah Fant,86,TE,Team of the Week,Denver Broncos,"6' 4""",249,Vertical Threat (TE),21400,"1,340",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Brace For All Hits,N/A,Yes,Yes,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,86,69,86,88,84,86,90,79,86,65,66,60,76,66,68,72,84,79,75,73,82,85,78,19,10,10,10,10,10,10,10,61,58,61,58,55,56,51,64,31,16,10,10,28,28,18,10,12,10,10,10,17
