,OVR,WEIGHT,PRICE,SPD,AGI,ACC,AWA,CTH,STA,TRK,ELU,BTK,SFA,SPM,JKM,CAR,SPC,RLS,THP,SAC,MAC,DAC,RUN,BSK,PAC,RBK,RBF,PBK,PBP,PBF,LBK,IBL,POW,PMV,FMV,BSH,PUR,PRC,MCV,ZCV,KPW,KAC,RET,OVR_SquareRooted,POS_C,POS_CB,POS_DT,POS_FB,POS_FS,POS_HB,POS_K,POS_LE,POS_LG,POS_LOLB,POS_LT,POS_MLB,POS_P,POS_QB,POS_RE,POS_RG,POS_ROLB,POS_RT,POS_SS,POS_TE,POS_WR,PROGRAM_Blitz,PROGRAM_Core Elite,PROGRAM_Core Gold,PROGRAM_Core Rookie,PROGRAM_Core Silver,PROGRAM_Flashbacks,PROGRAM_Football Outsiders,PROGRAM_Gauntlet I,PROGRAM_Gauntlet II,PROGRAM_Ghosts of Madden - Future,PROGRAM_Ghosts of Madden - Past,PROGRAM_Ghosts of Madden - Present,PROGRAM_Harvest,PROGRAM_Heavyweights,PROGRAM_Journey,PROGRAM_Legends,PROGRAM_M20 Pre-Order,PROGRAM_M20 Tribute,PROGRAM_MUT Captains,PROGRAM_MUT Heroes,PROGRAM_MUT Superstars,PROGRAM_Madden Ultimate Team 10,PROGRAM_Master,PROGRAM_Most Feared,PROGRAM_NFL 100,PROGRAM_NFL Epics,PROGRAM_NFL Playoffs,PROGRAM_Out of Position,PROGRAM_Power Up,PROGRAM_Rookie Premiere,PROGRAM_Series Redux,PROGRAM_Signature Series,PROGRAM_Team of the Week,PROGRAM_Team of the Year,PROGRAM_Theme Builders,PROGRAM_Theme Diamonds,PROGRAM_Twitch Prime,PROGRAM_Ultimate Kickoff,PROGRAM_Ultimate Trainers,PROGRAM_Veterans,PROGRAM_Zero Chill,TEAM_Arizona Cardinals,TEAM_Atlanta Falcons,TEAM_Baltimore Ravens,TEAM_Buffalo Bills,TEAM_Carolina Panthers,TEAM_Chicago Bears,TEAM_Cincinnati Bengals,TEAM_Cleveland Browns,TEAM_Dallas Cowboys,TEAM_Denver Broncos,TEAM_Detroit Lions,TEAM_Free Agents,TEAM_Green Bay Packers,TEAM_Houston Texans,TEAM_Indianapolis Colts,TEAM_Jacksonville Jaguars,TEAM_Kansas City Chiefs,TEAM_Los Angeles Chargers,TEAM_Los Angeles Rams,TEAM_Miami Dolphins,TEAM_Minnesota Vikings,TEAM_New England Patriots,TEAM_New Orleans Saints,TEAM_New York Giants,TEAM_New York Jets,TEAM_Oakland Raiders,TEAM_Philadelphia Eagles,TEAM_Pittsburgh Steelers,TEAM_San Francisco 49ers,TEAM_Seattle Seahawks,TEAM_Tampa Bay Buccaneers,TEAM_Tennessee Titans,TEAM_Washington Redskins,ARCHETYPE_Accurate (K/P),ARCHETYPE_Agile (C),ARCHETYPE_Agile (OG),ARCHETYPE_Agile (OT),ARCHETYPE_Blocking (FB),ARCHETYPE_Blocking (TE),ARCHETYPE_Deep Threat (WR),ARCHETYPE_Elusive Back (HB),ARCHETYPE_Field General (MLB),ARCHETYPE_Field General (QB),ARCHETYPE_Hybrid (FS/SS),ARCHETYPE_Improvisor (QB),ARCHETYPE_Man-to-Man (CB),ARCHETYPE_Pass Coverage (MLB),ARCHETYPE_Pass Coverage (OLB),ARCHETYPE_Pass Protector (C),ARCHETYPE_Pass Protector (OG),ARCHETYPE_Pass Protector (OT),ARCHETYPE_Physical (WR),ARCHETYPE_Possession (TE),ARCHETYPE_Power (C),ARCHETYPE_Power (K/P),ARCHETYPE_Power (OG),ARCHETYPE_Power (OT),ARCHETYPE_Power Rusher (DE),ARCHETYPE_Power Rusher (DT),ARCHETYPE_Power Rusher (OLB),ARCHETYPE_Powerback (HB),ARCHETYPE_Receiving Back (HB),ARCHETYPE_Returner (WR),ARCHETYPE_Route Running (WR),ARCHETYPE_Run Stopper (DE),ARCHETYPE_Run Stopper (DT),ARCHETYPE_Run Stopper (MLB),ARCHETYPE_Run Stopper (OLB),ARCHETYPE_Run Support (FS/SS),ARCHETYPE_Scrambler (QB),ARCHETYPE_Slot (CB),ARCHETYPE_Slot (WR),ARCHETYPE_Smaller Speed Rusher (DE),ARCHETYPE_Speed Rusher (DT),ARCHETYPE_Speed Rusher (OLB),ARCHETYPE_Strong Arm (QB),ARCHETYPE_Utility (FB),ARCHETYPE_Vertical Threat (TE),ARCHETYPE_Zone (CB),ARCHETYPE_Zone (FS/SS),QS_CURRENCY_Coins,QS_CURRENCY_Training
179,94,253,470000,88.0,77.0,92.0,91.0,92.0,88.0,79.0,80.0,69.0,86.0,75.0,87.0,85.0,88.0,74.0,16.0,10.0,10.0,10.0,10.0,10.0,10.0,77.0,77.0,69.0,64.0,68.0,65.0,83.0,15.0,10.0,10.0,18.0,22.0,10.0,10.0,10.0,10.0,10.0,20.0,4.543294782270004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180,93,190,137000,91.0,91.0,90.0,88.0,90.0,91.0,62.0,86.0,90.0,76.0,83.0,87.0,79.0,91.0,88.0,36.0,28.0,24.0,20.0,34.0,20.0,23.0,53.0,44.0,50.0,26.0,30.0,48.0,54.0,12.0,10.0,10.0,10.0,10.0,20.0,30.0,42.0,20.0,19.0,75.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,93,175,152000,92.0,94.0,91.0,91.0,91.0,96.0,42.0,85.0,76.0,45.0,89.0,92.0,75.0,88.0,81.0,31.0,10.0,10.0,10.0,10.0,12.0,10.0,47.0,17.0,27.0,20.0,17.0,22.0,42.0,10.0,10.0,10.0,25.0,25.0,10.0,10.0,25.0,20.0,20.0,92.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,94,208,241000,95.0,86.0,93.0,89.0,93.0,89.0,57.0,85.0,82.0,62.0,84.0,88.0,86.0,94.0,89.0,23.0,10.0,10.0,10.0,10.0,12.0,10.0,47.0,24.0,41.0,24.0,24.0,26.0,49.0,24.0,10.0,10.0,31.0,36.0,10.0,10.0,14.0,10.0,10.0,53.0,4.543294782270004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,93,202,148000,91.0,85.0,91.0,95.0,91.0,89.0,47.0,84.0,83.0,40.0,76.0,80.0,82.0,89.0,88.0,21.0,15.0,10.0,10.0,10.0,16.0,10.0,42.0,30.0,42.0,26.0,28.0,27.0,47.0,10.0,10.0,10.0,24.0,25.0,14.0,10.0,12.0,10.0,10.0,80.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,93,215,146000,89.0,89.0,87.0,94.0,66.0,86.0,78.0,88.0,90.0,90.0,83.0,95.0,92.0,58.0,52.0,26.0,10.0,10.0,10.0,10.0,10.0,10.0,32.0,22.0,53.0,29.0,25.0,30.0,28.0,30.0,10.0,10.0,30.0,39.0,10.0,10.0,10.0,12.0,11.0,67.0,4.532599493153256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,94,256,231000,86.0,89.0,91.0,91.0,61.0,89.0,39.0,30.0,22.0,27.0,29.0,45.0,46.0,36.0,10.0,24.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,12.0,83.0,82.0,65.0,54.0,85.0,95.0,91.0,72.0,79.0,10.0,10.0,18.0,4.543294782270004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,94,310,317000,68.0,68.0,78.0,93.0,29.0,93.0,32.0,15.0,24.0,36.0,13.0,18.0,40.0,23.0,12.0,26.0,15.0,10.0,5.0,17.0,19.0,10.0,91.0,91.0,91.0,93.0,90.0,87.0,86.0,30.0,10.0,18.0,28.0,34.0,21.0,10.0,15.0,19.0,16.0,10.0,4.543294782270004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,93,269,227000,86.0,80.0,89.0,90.0,46.0,86.0,21.0,17.0,26.0,32.0,23.0,28.0,43.0,26.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,10.0,92.0,92.0,85.0,90.0,91.0,91.0,90.0,49.0,53.0,10.0,10.0,14.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,93,314,146000,62.0,68.0,77.0,97.0,10.0,90.0,10.0,20.0,10.0,10.0,10.0,10.0,29.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,82.0,78.0,91.0,91.0,90.0,92.0,93.0,23.0,10.0,10.0,15.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,93,260,139000,77.0,79.0,82.0,95.0,53.0,90.0,36.0,31.0,29.0,38.0,28.0,33.0,43.0,41.0,16.0,28.0,20.0,15.0,10.0,15.0,15.0,6.0,45.0,45.0,45.0,45.0,45.0,20.0,87.0,88.0,91.0,78.0,88.0,90.0,95.0,60.0,74.0,12.0,13.0,14.0,4.532599493153256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,94,227,220000,90.0,93.0,90.0,90.0,64.0,94.0,81.0,91.0,93.0,88.0,83.0,92.0,92.0,61.0,51.0,25.0,25.0,25.0,25.0,15.0,13.0,10.0,39.0,30.0,60.0,33.0,28.0,41.0,39.0,35.0,10.0,10.0,32.0,34.0,10.0,10.0,10.0,10.0,10.0,71.0,4.543294782270004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193,94,203,305000,94.0,93.0,94.0,86.0,72.0,92.0,46.0,93.0,88.0,64.0,85.0,92.0,89.0,69.0,68.0,30.0,35.0,30.0,20.0,15.0,18.0,15.0,32.0,27.0,50.0,33.0,36.0,34.0,32.0,20.0,10.0,10.0,11.0,40.0,20.0,15.0,20.0,25.0,25.0,63.0,4.543294782270004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,93,216,351000,92.0,93.0,93.0,84.0,16.0,89.0,45.0,91.0,87.0,63.0,86.0,93.0,68.0,10.0,10.0,88.0,89.0,85.0,86.0,91.0,97.0,90.0,10.0,10.0,10.0,10.0,10.0,11.0,19.0,17.0,10.0,10.0,10.0,28.0,10.0,10.0,10.0,10.0,10.0,10.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
196,93,180,172000,90.0,88.0,91.0,91.0,75.0,91.0,23.0,52.0,42.0,23.0,50.0,58.0,48.0,69.0,11.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,24.0,24.0,23.0,23.0,24.0,10.0,54.0,60.0,44.0,49.0,57.0,76.0,91.0,92.0,85.0,10.0,10.0,51.0,4.532599493153256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,94,194,223000,91.0,92.0,91.0,89.0,78.0,95.0,55.0,93.0,93.0,55.0,88.0,90.0,65.0,74.0,60.0,37.0,15.0,10.0,10.0,15.0,40.0,15.0,45.0,45.0,45.0,45.0,45.0,45.0,66.0,91.0,55.0,61.0,64.0,80.0,89.0,88.0,93.0,35.0,33.0,60.0,4.543294782270004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
198,93,212,166000,88.0,94.0,85.0,88.0,70.0,92.0,43.0,87.0,85.0,65.0,86.0,87.0,70.0,45.0,25.0,93.0,88.0,83.0,92.0,92.0,93.0,87.0,28.0,35.0,32.0,32.0,32.0,45.0,45.0,12.0,10.0,10.0,41.0,52.0,19.0,11.0,30.0,83.0,38.0,14.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
199,93,187,180000,92.0,93.0,93.0,91.0,84.0,91.0,42.0,94.0,93.0,54.0,93.0,94.0,85.0,78.0,74.0,35.0,34.0,28.0,24.0,32.0,43.0,15.0,31.0,17.0,20.0,14.0,16.0,22.0,26.0,15.0,10.0,10.0,49.0,66.0,23.0,15.0,25.0,22.0,18.0,94.0,4.532599493153256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,92,280,315000,78.0,77.0,85.0,91.0,34.0,88.0,22.0,10.0,10.0,20.0,15.0,18.0,38.0,39.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,13.0,87.0,78.0,92.0,89.0,90.0,90.0,91.0,17.0,21.0,15.0,11.0,12.0,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,92,210,101000,87.0,85.0,85.0,91.0,72.0,91.0,44.0,39.0,44.0,43.0,69.0,76.0,64.0,69.0,20.0,20.0,6.0,6.0,6.0,6.0,24.0,6.0,45.0,45.0,45.0,45.0,45.0,18.0,49.0,71.0,42.0,52.0,60.0,85.0,91.0,89.0,90.0,14.0,16.0,54.0,4.5217885770490405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
202,93,202,615000,89.0,90.0,91.0,94.0,73.0,88.0,27.0,51.0,38.0,26.0,47.0,59.0,42.0,76.0,20.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,25.0,15.0,25.0,25.0,10.0,60.0,91.0,34.0,45.0,65.0,92.0,94.0,84.0,91.0,12.0,10.0,31.0,4.532599493153256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
203,93,202,171000,88.0,96.0,91.0,94.0,74.0,95.0,43.0,52.0,37.0,34.0,50.0,58.0,52.0,65.0,12.0,17.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,10.0,24.0,23.0,10.0,55.0,86.0,32.0,36.0,74.0,94.0,94.0,82.0,81.0,10.0,10.0,50.0,4.532599493153256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
204,93,300,230000,71.0,78.0,81.0,94.0,36.0,90.0,30.0,16.0,10.0,35.0,10.0,10.0,35.0,15.0,10.0,26.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,10.0,87.0,85.0,88.0,86.0,93.0,87.0,94.0,15.0,22.0,20.0,20.0,14.0,4.532599493153256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,92,317,135000,79.0,76.0,86.0,94.0,52.0,89.0,55.0,30.0,20.0,45.0,40.0,44.0,57.0,54.0,35.0,56.0,49.0,44.0,40.0,42.0,24.0,29.0,89.0,88.0,89.0,90.0,88.0,91.0,91.0,50.0,43.0,54.0,46.0,45.0,19.0,10.0,10.0,15.0,12.0,10.0,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,92,215,282000,88.0,91.0,91.0,90.0,65.0,88.0,31.0,82.0,79.0,56.0,81.0,87.0,61.0,45.0,34.0,92.0,85.0,83.0,86.0,91.0,92.0,82.0,24.0,10.0,19.0,10.0,10.0,10.0,24.0,12.0,10.0,10.0,31.0,40.0,25.0,18.0,16.0,19.0,22.0,35.0,4.5217885770490405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
